"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20090101","2009","52","2009","156","CHN","China","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","-1","N/A",,"false","3000","false",,"false","2700",,"2700","0","true","false",
"C","A","20090101","2009","52","2009","170","COL","Colombia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","96","false","-1","N/A",,"false","96","false",,"false","176",,"176","0","true","false",
"C","A","20090101","2009","52","2009","174","COM","Comoros","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15000","false","8","kg","15000","false","15000","false","0","false","9820.703",,"9820.703","0","false","true",
"C","A","20090101","2009","52","2009","191","HRV","Croatia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1930","false","-1","N/A",,"false","1930","false",,"false","1342",,"1342","0","true","false",
"C","A","20090101","2009","52","2009","203","CZE","Czechia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","90625","false","-1","N/A",,"false","90625","false",,"false","70525",,"70525","0","true","false",
"C","A","20090101","2009","52","2009","212","DMA","Dominica","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","-1","N/A",,"false","14","false",,"false","37",,"37","0","true","false",
"C","A","20090101","2009","52","2009","214","DOM","Dominican Rep.","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19916.3","false","8","kg","19916.3","false","19916.3","false","0","false","13161.46","11203.379","13161.46","0","false","true",
"C","A","20090101","2009","52","2009","231","ETH","Ethiopia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4344.96","false","8","kg","4344.96","false","4344.96","false","0","false","22241.662",,"22241.662","0","false","true",
"C","A","20090101","2009","52","2009","233","EST","Estonia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18000","false","8","kg","18000","false","18000","false","0","false","23001.19","0","23001.19","0","false","true",
"C","A","20090101","2009","52","2009","246","FIN","Finland","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2632","false","-1","N/A",,"false","2632","false",,"false","8315",,"8315","0","true","false",
"C","A","20090101","2009","52","2009","251","FRA","France","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36500","false","-1","N/A",,"false","36500","false",,"false","52742",,"52742","0","true","false",
